country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp,KMeans_Cluster
Afghanistan,1.316620241411328,0.049481967672381444,0.27908824743315636,0.25776486611883465,-0.42941630239136025,0.45302013422818793,-1.6190920260077017,1.6354916067146283,-0.32287735849056604,0
Albania,-0.0501392757660167,0.1395310444192085,-0.09701618253375949,0.27903729056004545,-0.0015428130624839291,-0.10067114093959727,0.6478664305285681,-0.3645083932853718,-0.04481132075471698,0
Algeria,0.14856081708449395,0.19155939987293077,-0.9660730207097395,0.18014926342793045,0.15119568012342505,1.1979865771812082,0.6704232310911183,0.23021582733812948,-0.015723270440251572,0
Angola,1.8514391829155061,0.3111245628867733,-1.4480709309586024,0.24626625831277477,-0.2087940344561584,1.9026845637583891,-1.1792344150379779,1.7985611510791366,-0.08883647798742138,0
Antigua and Barbuda,-0.1671309192200557,0.2270787579230681,-0.2868941471772508,0.3382551207612538,0.4700437130367704,-0.441834451901566,0.704258431934943,-0.13429256594724231,0.5927672955974843,0
Argentina,-0.08913649025069639,0.09400623339720147,0.4689662120766477,0.09160998332126938,0.44947287220365134,1.7348993288590602,0.5914744291221932,-0.019184652278177474,0.44339622641509435,0
Armenia,-0.02228412256267408,0.10351141372047766,-0.8820885363481952,0.2600645876800466,-0.1676523527899203,0.2662192393736018,0.3095144220903187,-0.3453237410071943,-0.11320754716981132,0
Australia,-0.2692664809656453,0.09850868723454283,0.699010669240878,0.11978157244611608,1.6168680894831575,-0.47315436241610737,1.290735246561242,-0.2302158273381296,3.7138364779874213,1
Austria,-0.2785515320334262,0.2560945715414901,1.5279010148961194,0.27443784743762145,1.7094368732321934,-0.5052572706935122,1.1215592423421175,-0.46522781774580346,3.3207547169811322,1
Azerbaijan,0.3695450324976788,0.27110275099929465,-0.34166663697825805,0.11863171166551009,0.3106196965800977,0.9407158836689039,-0.16417838972323065,-0.23501199040767395,0.09276729559748427,0
Bahamas,-0.1021355617455896,0.17455012982075233,0.3922847263552377,0.25086570143519876,0.6654667009514014,-0.6468680089485458,0.3659064234966936,-0.2637889688249401,1.8349056603773586,1
Bahrain,-0.19870009285051068,0.34714419358550413,-0.6739530751043682,0.2922606895370143,1.6014399588583184,0.22930648769574954,0.6140312296847434,-0.11990407673860912,1.2610062893081762,1
Bangladesh,0.5589600742804085,0.07949832658799046,-1.2034204765141039,0.12495594595884303,-0.3867318076626382,0.19574944071588368,-0.017559186066654665,-0.03836930455635495,-0.3067610062893082,0
Barbados,-0.09470752089136493,0.1970623990074591,0.42149672091577484,0.27961222095034843,0.27462072512213936,-0.5670022371364654,0.6929800316536686,-0.30215827338129503,0.8915094339622641,0
Belarus,-0.2562674094707521,0.2565948441900836,-0.4402571186200708,0.3704512226182215,0.32090511699665725,1.086129753914989,-0.017559186066654665,-0.4412470023980816,0.10770440251572327,0
Belgium,-0.27483751160631387,0.3816630063384545,1.418356035294105,0.4290941224291269,1.6014399588583184,-0.3926174496644295,1.0651672409357427,-0.2637889688249401,3.1242138364779874,1
Belize,-0.009285051067780872,0.2906133842944405,-0.5899685907428237,0.3302060952970119,-0.10696837233221908,-0.4753914988814318,0.0952248167460951,0.14388489208633085,-0.025157232704402517,0
Benin,1.702878365831012,0.11851959317828217,-0.9916335159502097,0.2134952260655041,-0.41861661095397273,-0.5039149888143177,-0.9875016102563037,1.4148681055155876,-0.3067610062893082,0
Bhutan,0.4345403899721449,0.2120705784652636,-0.5899685907428237,0.4060969068170071,-0.18205194137310363,0.06711409395973161,0.17417361871501869,-0.014388489208633212,-0.1949685534591195,0
Bolivia,0.5069637883008357,0.2055670340335483,-0.721422566265241,0.19682224474671725,-0.23399331447672925,0.37919463087248323,0.11778161730864378,0.3788968824940048,-0.21069182389937108,0
Bosnia and Herzegovina,-0.23026926648096566,0.1480356794452977,1.5644160080967908,0.2945604110982262,-0.012342504499871433,-0.4463087248322148,0.704258431934943,-0.5275779376498801,-0.003930817610062893,0
Botswana,0.61652739090065,0.21757357759979193,0.541996198477991,0.2945604110982262,0.1717665209565441,0.39485458612975394,-1.5175864234762273,0.225419664268585,0.13286163522012578,0
Brazil,0.009285051067780872,0.052983876212535835,0.8012526502027578,0.06746290692854363,0.23347904345590126,0.33780760626398215,0.41102002462179416,-0.2925659472422063,0.5141509433962265,0
Brunei,-0.16341689879294338,0.336638467965041,-1.4517224302786698,0.16060163015762866,3.632810491128825,1.2651006711409396,0.7380936327787676,-0.2733812949640288,2.408805031446541,1
Bulgaria,-0.15784586815227483,0.25059157240696184,0.01983179570838921,0.30433422773337715,0.27462072512213936,-0.4787472035794183,0.3771848237779696,-0.40287769784172667,0.17138364779874213,0
Burkina Faso,1.7957288765088208,0.09550705134298193,-0.027637695452483617,0.16980051640247656,-0.4386731807662638,0.15883668903803133,-1.4273592212260278,1.6594724220623502,-0.3211477987421384,0
Burundi,1.3797585886722377,0.04407902306757183,1.746990974100148,0.224993833871564,-0.47292363075340704,0.7729306487695751,-1.4499160217885771,1.8465227817745802,-0.3481918238993711,0
Cambodia,0.46610956360259975,0.2701022057021077,-0.414696623379601,0.34170470310307177,-0.3826176394960144,-0.2539149888143176,-0.50253039816148,0.225419664268585,-0.30455974842767297,0
Cameroon,1.6471680594243268,0.11051523080078643,-0.6155290859832938,0.15485232625459872,-0.37541784520442273,-0.38926174496644295,-1.4950296229136777,1.2949640287769786,-0.26336477987421386,0
Canada,-0.25441039925719594,0.1450340435537368,1.6374459944981339,0.17784954186671847,1.5808691180251992,-0.28187919463087246,1.211786444592317,-0.37410071942446055,3.360062893081761,1
Cape Verde,0.13370473537604455,0.16304385890310222,-0.9952850152702768,0.3549281020800406,-0.21239393160195422,-0.546420581655481,0.21928721984011923,0.12470023980815338,-0.10613207547169812,0
Central African Republic,2.4085422469823583,0.05848687534706416,-1.0354515077910154,0.15197767430308373,-0.4665466700951401,-0.378076062639821,-2.600312850478625,1.342925659472422,-0.33128930817610064,0
Chad,2.42711234911792,0.18355503749543503,-0.8346190451873223,0.24971584065459274,-0.412959629724865,0.11185682326621925,-1.5852568251638772,2.0047961630695443,-0.29583333333333334,0
Chile,-0.19684308263695452,0.1880574913327764,0.4178452215957078,0.17957433303762746,0.48547184366160967,0.39932885906040283,0.9636616384042671,-0.25419664268585146,0.6477987421383647,0
China,-0.06685236768802232,0.13102640939311927,-0.6374380819036966,0.129555389081267,-0.02211365389560298,0.1733780760626399,0.45613362574689315,-0.39328537170263794,-0.007861635220125786,0
Colombia,-0.012999071494893209,0.07899805393939698,0.28273974675322344,0.10195873034672327,0.048341475957829776,-0.1711409395973154,0.659144830809844,-0.19184652278177475,0.125,0
Comoros,1.2794800371402044,0.08199968983095787,-0.8419220438274567,0.2968601326594383,-0.43970172280791975,-0.1700223713646532,-0.5250871987240286,1.1223021582733812,-0.30589622641509434,0
"Congo, Dem. Rep.",1.7957288765088208,0.20506676138495483,0.39958772499537215,0.28478659446307536,-0.4808948315762407,1.7237136465324385,-1.4724728223511274,1.9808153477218224,-0.3400943396226415,0
"Congo, Rep.",0.8282265552460537,0.42518672676608754,-1.5904794044412212,0.31410804436852807,-0.24530727693494472,1.7125279642058164,-1.1453992141941531,1.2182254196642686,-0.1509433962264151,0
Costa Rica,-0.1689879294336119,0.16554522214606965,1.4913860216954482,0.20084675747883823,0.1563383903317048,0.13199105145413878,1.1102808420608432,-0.23501199040767395,0.2783018867924528,0
Cote d'Ivoire,1.702878365831012,0.25259266300133576,-0.5534535975421524,0.24856597987398674,-0.3738750321419388,0.0,-1.6078136257264275,1.371702637889688,-0.27044025157232704,0
Croatia,-0.2562674094707521,0.1875572186841829,0.34481523519436486,0.21866959957823107,0.521470815119568,-0.5110738255033557,0.6478664305285681,-0.4124700239808154,0.6949685534591195,0
Cyprus,-0.2915506035283194,0.25059157240696184,-0.30880314309765383,0.3302060952970119,1.2311648238621753,-0.378076062639821,1.0538888406544682,-0.4748201438848922,2.0550314465408803,1
Czech Republic,-0.29526462395543174,0.3296346508847322,0.3886332270351706,0.36125233637337356,0.9431730521985087,-0.7628635346756152,0.7832072339038681,-0.4316546762589929,1.190251572327044,1
Denmark,-0.2822655524605385,0.2520923903527423,1.6739609876988053,0.2502907710448957,1.7505785548984314,-0.2427293064876957,1.0087752395293677,-0.2589928057553957,4.193396226415095,1
